index,Source_airport,Destination_airport,Source_Latitude,Source_Longitude,Destination_Latitude,Destination_Longitude
11330,PSA,CTA,43.684,10.393,37.467,15.066
11979,SFO,JFK,37.619,-122.375,40.64,-73.779
17514,TPE,HIJ,25.08,121.232,34.435,132.922
10539,IXS,IMF,24.913,92.979,24.76,93.897
9518,FCO,NCE,41.813,12.253,43.661,7.218
6773,SFO,LAX,37.619,-122.375,33.942,-118.408
5389,ELP,LAX,31.807,-106.378,33.942,-118.408
4188,MAA,TRZ,12.994,80.18,10.765,78.709
1084,AGU,MEX,21.705,-102.318,19.436,-99.072
4356,HER,SKG,35.339,25.18,40.52,22.971
14053,JFK,BOS,40.64,-73.779,42.364,-71.005
12666,HEL,BUD,60.32,24.956,47.437,19.256
13259,EVN,CDG,40.148,44.397,49.013,2.55
7026,ALC,FRA,38.282,-0.558,50.026,8.543
34,SVX,NBC,56.741,60.804,32.477,-80.723
14519,FNA,ROB,8.616,-13.195,6.234,-10.362
10221,ORN,AAE,35.624,-0.621,36.822,7.809
15147,GCI,NWI,49.435,-2.602,52.676,1.283
8350,YYC,YOW,51.114,-114.02,45.323,-75.669
11586,BLI,LAS,48.792,-122.537,36.08,-115.152
7234,FMO,PMI,52.134,7.685,39.55,2.733
3594,MSP,MSY,44.88,-93.217,29.993,-90.258
8975,AEX,ATL,31.327,-92.548,33.64,-84.427
4794,BOS,DFW,42.364,-71.005,32.896,-97.037
9491,EBU,BIA,45.54,4.296,42.554,9.483
9178,AUH,CDG,24.433,54.651,49.013,2.55
6530,PHX,DFW,33.434,-112.008,32.896,-97.037
11618,DCA,PDX,38.852,-77.037,45.589,-122.597
14203,POS,JFK,10.595,-61.337,40.64,-73.779
9237,BSB,CDG,-15.862,-47.913,49.013,2.55
14848,NCE,LHR,43.661,7.218,51.477,-0.461
8029,PUJ,YYZ,18.567,-68.363,43.677,-79.631
10403,DEL,BHX,28.566,77.103,52.454,-1.748
13316,FCO,LOS,41.813,12.253,6.577,3.321
9708,MCO,ATL,28.429,-81.316,33.64,-84.427
8811,SJP,RAO,-20.816,-49.406,-21.134,-47.774
14288,TPA,HPN,27.975,-82.533,41.067,-73.707
8390,YYZ,AUA,43.677,-79.631,12.501,-70.015
10941,CUN,RDU,21.036,-86.877,35.877,-78.787
12048,ZLO,LAX,19.145,-104.559,33.942,-118.408
5719,LAX,MAD,33.942,-118.408,40.472,-3.561
188,KLO,MNL,11.681,122.378,7.617,124.059
129,AJR,LYC,65.59,19.282,64.548,18.716
8686,JPA,VCP,-7.27,-35.896,-23.008,-47.134
3046,UNK,OME,63.888,-160.799,64.512,-165.445
15208,KOI,LSI,58.958,-2.905,59.879,-1.296
5615,JFK,GRU,40.64,-73.779,-23.432,-46.469
13583,NTE,MXP,47.153,-1.611,45.631,8.728
1578,SPU,DTM,43.539,16.298,51.518,7.612
16708,PEK,FOC,40.08,116.584,25.933,119.662
8532,BEL,CNF,-1.379,-48.476,-19.634,-43.969
11194,PVR,SAN,20.68,-105.254,32.733,-117.189
15073,BHX,HAJ,52.454,-1.748,52.461,9.685
14858,ORD,FCO,41.979,-87.904,41.813,12.253
6055,MIA,LAS,25.793,-80.291,36.08,-115.152
15547,ABZ,EBJ,57.204,-2.2,55.526,8.553
6008,MIA,BGI,25.793,-80.291,13.074,-59.492
4068,DEL,BOM,28.566,77.103,19.089,72.868
9595,JFK,CDG,40.64,-73.779,49.013,2.55
12102,CMN,CAI,33.368,-7.588,30.122,31.406
6838,SNA,ORD,33.676,-117.868,41.979,-87.904
10241,ORY,BJA,48.725,2.359,36.712,5.07
5237,DFW,IND,32.896,-97.037,39.717,-86.294
389,KUL,SIN,2.746,101.71,1.356,103.987
10339,BOM,LKO,19.089,72.868,26.761,80.886
1683,XRY,CGN,36.744,-6.06,50.866,7.143
5905,LIN,LHR,45.445,9.277,51.477,-0.461
2266,IDR,RPR,22.722,75.801,21.18,81.739
5932,MAD,PHL,40.472,-3.561,39.872,-75.241
4454,TXL,HER,52.559,13.287,35.339,25.18
6715,SAT,PHL,29.534,-98.47,39.872,-75.241
7842,BRU,OUA,50.902,4.499,12.353,-1.512
10770,KUL,REP,2.746,101.71,13.411,103.813
10335,BOM,JED,19.089,72.868,21.679,39.156
3818,CLO,GPI,3.543,-76.381,2.57,-77.898
12581,AGP,HEL,36.674,-4.499,60.32,24.956
15104,DUS,MAN,51.289,6.767,53.354,-2.275
2126,BBI,CCU,20.244,85.818,22.655,88.447
9179,AUS,ATL,30.194,-97.67,33.64,-84.427
10402,DEL,BHO,28.566,77.103,23.285,77.337
1107,JFK,MEX,40.64,-73.779,19.436,-99.072
11741,LAX,YVR,33.942,-118.408,49.195,-123.182
9630,LCY,BVE,51.505,0.054,45.151,1.469
17427,HKG,TPE,22.309,113.914,25.08,121.232
9371,CDG,NRT,49.013,2.55,35.765,140.386
10143,CZL,AZR,36.277,6.624,27.837,-0.186
15515,XIY,CSX,34.446,108.752,28.189,113.219
5282,DFW,ORD,32.896,-97.037,41.979,-87.904
15122,EMA,EDI,52.831,-1.328,55.95,-3.373
10703,HKT,KUL,8.113,98.317,2.746,101.71
10611,PNQ,DEL,18.582,73.919,28.566,77.103
2319,PNQ,CCU,18.582,73.919,22.655,88.447
7283,HAJ,IBZ,52.461,9.685,38.873,1.373
14393,AAR,GOT,56.304,10.619,57.663,12.28
13741,TXL,AMS,52.559,13.287,52.309,4.764
15169,HEL,KAJ,60.32,24.956,64.285,27.692
2329,SXR,BOM,33.987,74.774,19.089,72.868
12277,TNG,MAD,35.727,-5.917,40.472,-3.561
9496,EGC,SOU,44.825,0.519,50.95,-1.357
304,LOS,DKR,6.577,3.321,14.739,-17.49
198,MNL,KLO,14.509,121.019,11.681,122.378
3893,KIV,STN,46.928,28.931,51.885,0.235
16181,CTU,BOM,30.578,103.947,19.089,72.868
11796,OME,ANC,64.512,-165.445,61.174,-149.996
3938,AMD,AUH,23.075,72.632,24.433,54.651
13508,MCO,ATL,28.429,-81.316,33.64,-84.427
13272,FCO,BDS,41.813,12.253,40.657,17.947
15351,YVR,YYD,49.195,-123.182,54.825,-127.183
374,YZV,YKL,50.223,-66.266,54.805,-66.805
9550,GRK,ATL,31.067,-97.829,33.64,-84.427
1333,CGN,ZAG,50.866,7.143,45.743,16.069
14558,IOM,LCY,54.083,-4.624,51.505,0.054
4586,NTE,BRU,47.153,-1.611,50.902,4.499
14411,ANU,PUJ,17.137,-61.792,18.567,-68.363
1998,LED,MMK,59.8,30.265,68.782,32.751
236,GYN,UDI,-16.631,-49.222,-18.883,-48.226
10453,DEL,RUH,28.566,77.103,24.957,46.699
13165,CDG,LAX,49.013,2.55,33.942,-118.408
580,ANU,PTP,17.137,-61.792,16.265,-61.532
9279,CDG,BLQ,49.013,2.55,44.534,11.29
8631,FEN,NAT,-3.855,-32.423,-5.911,-35.248
1548,PRG,HAM,50.101,14.26,53.63,9.988
2178,CCU,DEL,22.655,88.447,28.566,77.103
7033,AMM,FRA,31.722,35.993,50.026,8.543
13162,CDG,IAH,49.013,2.55,29.98,-95.34
10925,CUL,HMO,24.764,-107.474,29.096,-111.048
3962,BLR,BOM,12.95,77.668,19.089,72.868
6239,ORD,BWI,41.979,-87.904,39.175,-76.668
2776,BON,AUA,12.131,-68.268,12.501,-70.015
13253,DUS,AMS,51.289,6.767,52.309,4.764
9401,CDG,SVG,49.013,2.55,58.877,5.638
14403,ALA,LHR,43.352,77.04,51.477,-0.461
12577,ACC,TML,5.603,-0.168,9.563,-0.863
8665,GYN,VCP,-16.631,-49.222,-23.008,-47.134
6105,MIA,SKB,25.793,-80.291,17.311,-62.719
13215,CPH,AMS,55.618,12.656,52.309,4.764
1500,LHR,CGN,51.477,-0.461,50.866,7.143
15248,NOC,BHX,53.91,-8.818,52.454,-1.748
5573,IND,PHL,39.717,-86.294,39.872,-75.241
9005,AMS,NTE,52.309,4.764,47.153,-1.611
8844,THE,VCP,-5.06,-42.823,-23.008,-47.134
5032,CMH,PHL,39.998,-82.892,39.872,-75.241
1623,STR,SJJ,48.69,9.222,43.824,18.331
10826,SIN,LGK,1.356,103.987,6.33,99.729
6116,MIA,TXL,25.793,-80.291,52.559,13.287
7532,PEK,NGO,40.08,116.584,35.255,136.924
14712,LHR,HAJ,51.477,-0.461,52.461,9.685
13759,VCE,PMO,45.505,12.352,38.176,13.091
1876,HKT,MNL,8.113,98.317,7.617,124.059
10425,DEL,IXD,28.566,77.103,25.439,81.734
9419,CDG,YYZ,49.013,2.55,43.677,-79.631
8655,GRU,POA,-23.432,-46.469,-29.994,-51.171
15698,TPE,OKJ,25.08,121.232,34.757,133.856
1886,ILO,MNL,10.713,122.545,14.509,121.019
6652,RDU,LGA,35.877,-78.787,40.777,-73.872
8398,YYZ,BOG,43.677,-79.631,4.701,-74.147
8985,ALB,ATL,42.748,-73.803,33.64,-84.427
12984,ATL,DCA,33.64,-84.427,38.852,-77.037
1097,GDL,MEX,20.522,-103.311,19.436,-99.072
13554,MXP,NTE,45.631,8.728,47.153,-1.611
1148,MEX,VSA,19.436,-99.072,17.997,-92.817
10606,NRT,DEL,35.765,140.386,28.566,77.103
9512,FCO,BOD,41.813,12.253,44.828,-0.716
13339,FCO,RUH,41.813,12.253,24.957,46.699
122,TFS,GVA,28.044,-16.572,46.238,6.109
14470,CNS,HKG,-16.886,145.755,22.309,113.914
12186,LBV,CMN,0.458,9.412,33.368,-7.588
4803,BOS,ORD,42.364,-71.005,41.979,-87.904
3707,YQQ,YBL,49.711,-124.887,49.951,-125.271
15661,SDJ,TPE,38.139,140.917,25.08,121.232
1287,CGN,FCO,50.866,7.143,41.813,12.253
15380,MNL,BWN,14.509,121.019,4.946,114.928
3981,BOM,BHO,19.089,72.868,23.285,77.337
5430,FLL,ORD,26.072,-80.153,41.979,-87.904
10958,DGO,TIJ,24.124,-104.528,32.541,-116.97
2170,BOM,PAT,19.089,72.868,25.591,85.088
17314,GKA,MAG,-6.082,145.392,-5.207,145.789
13102,BLQ,LIS,44.534,11.29,38.781,-9.136
7799,ZRH,PMI,47.465,8.549,39.55,2.733
4183,MAA,HYD,12.994,80.18,17.452,78.461
10836,TGG,MYY,5.382,103.103,4.325,113.988
4565,LYS,SXB,45.726,5.091,48.538,7.628
10803,PDG,KUL,-0.876,100.352,2.746,101.71
16293,FNJ,PEK,39.033,125.783,40.08,116.584
13467,LIN,FCO,45.445,9.277,41.813,12.253
4793,BOS,DCA,42.364,-71.005,38.852,-77.037
4358,HER,TXL,35.339,25.18,52.559,13.287
5855,LHR,LBA,51.477,-0.461,53.866,-1.661
10522,IXB,CCU,26.681,88.328,22.655,88.447
9591,JER,CWL,49.208,-2.195,51.397,-3.343
7318,HEL,VIE,60.32,24.956,48.11,16.57
11062,MEX,CPE,19.436,-99.072,19.817,-90.5
8341,YYC,PVR,51.114,-114.02,20.68,-105.254
17559,XIY,TPE,34.446,108.752,25.08,121.232
4689,ANU,MIA,17.137,-61.792,25.793,-80.291
5699,LAX,DCA,33.942,-118.408,38.852,-77.037
6162,MYR,DCA,33.68,-78.928,38.852,-77.037
5323,DFW,SNA,32.896,-97.037,33.676,-117.868
14011,FLL,JFK,26.072,-80.153,40.64,-73.779
6986,YYC,LAX,51.114,-114.02,33.942,-118.408
12626,DEN,LHR,39.858,-104.667,51.477,-0.461
14055,JFK,BTV,40.64,-73.779,44.472,-73.153
14643,LGW,NAP,51.148,-0.19,40.886,14.291
13703,TGM,OTP,46.468,24.412,44.574,26.103
7576,RHO,DRS,36.405,28.086,51.133,13.767
7114,CLY,SZG,42.531,8.793,47.793,13.004
11107,MEX,SAL,19.436,-99.072,13.441,-89.056
8072,YBC,YYY,49.132,-68.207,48.609,-68.208
12716,HEL,SVL,60.32,24.956,61.943,28.945
119,LCA,ZRH,34.875,33.625,47.465,8.549
11671,JFK,LAX,40.64,-73.779,33.942,-118.408
11895,SAN,ORD,32.733,-117.189,41.979,-87.904
14062,JFK,DEN,40.64,-73.779,39.858,-104.667
12701,HEL,MSQ,60.32,24.956,53.882,28.031
7335,HRG,CGN,27.184,33.798,50.866,7.143
17400,BKK,TPE,13.912,100.607,25.08,121.232
3425,HGH,KWL,30.228,120.432,25.218,110.039
10652,TRV,SHJ,8.482,76.918,25.328,55.517
685,CTU,LHW,30.578,103.947,31.889,-81.562
7713,TXL,OSL,52.559,13.287,60.194,11.1
15253,NTE,MAN,47.153,-1.611,53.354,-2.275
1885,ILO,HKG,10.713,122.545,22.309,113.914
2818,DEL,DYU,28.566,77.103,38.543,68.825
13263,FCO,AGP,41.813,12.253,36.674,-4.499
17422,HAN,TPE,21.222,105.806,25.08,121.232
17393,AMS,MAN,52.309,4.764,53.354,-2.275
10817,SBW,KCH,2.264,111.983,1.485,110.346
11051,MEX,ACA,19.436,-99.072,16.757,-99.753
10062,ALG,CAI,36.691,3.215,30.122,31.406
2602,CDV,ANC,60.492,-145.477,61.174,-149.996
16597,MFM,PEK,22.149,113.591,40.08,116.584
14686,LHR,CDG,51.477,-0.461,49.013,2.55
11628,DLG,ANC,59.045,-158.503,61.174,-149.996
6856,STL,PHX,38.748,-90.36,33.434,-112.008
10333,BOM,JAI,19.089,72.868,26.824,75.81
15205,KOI,EDI,58.958,-2.905,55.95,-3.373
9124,ATL,NAS,33.64,-84.427,25.039,-77.466
1288,CGN,FDH,50.866,7.143,47.671,9.511
3301,REL,EQS,-43.21,-65.27,-42.908,-71.139
5010,CLT,STT,35.214,-80.943,18.337,-64.973
6416,PHL,BTV,39.872,-75.241,44.472,-73.153
5671,KUL,PEN,2.746,101.71,5.297,100.277
4222,VNS,CCU,25.452,82.859,22.655,88.447
8074,YBL,YQQ,49.951,-125.271,49.711,-124.887
11767,MIA,LAX,25.793,-80.291,33.942,-118.408
14972,CTS,FUK,42.775,141.692,33.586,130.45
5127,DCA,PDX,38.852,-77.037,45.589,-122.597
6720,SAV,PHL,32.127,-81.202,39.872,-75.241
14594,LCA,LHR,34.875,33.625,51.477,-0.461
12125,CMN,LPA,33.368,-7.588,27.932,-15.386
2208,DEL,CCU,28.566,77.103,22.655,88.447
10950,CVG,ATL,39.046,-84.662,33.64,-84.427
17556,VIE,TPE,48.11,16.57,25.08,121.232
10502,HYD,MAA,17.452,78.461,12.994,80.18
9573,HPN,ATL,41.067,-73.707,33.64,-84.427
6631,PUJ,MIA,18.567,-68.363,25.793,-80.291
3873,FCO,KIV,41.813,12.253,46.928,28.931
3976,BOM,AMD,19.089,72.868,23.075,72.632
860,NNG,WUH,22.608,108.172,30.784,114.208
9544,GNV,ATL,29.69,-82.272,33.64,-84.427
2786,CUR,CLT,12.189,-68.96,35.214,-80.943
12836,NCE,HEL,43.661,7.218,60.32,24.956
4587,NTE,CLY,47.153,-1.611,42.531,8.793
7031,ALC,TXL,38.282,-0.558,52.559,13.287
9824,NTE,MAN,47.153,-1.611,53.354,-2.275
12868,SVL,HEL,61.943,28.945,60.32,24.956
8426,YYZ,IAH,43.677,-79.631,29.98,-95.34
8510,YZV,YWK,50.223,-66.266,52.922,-66.864
692,CTU,NNG,30.578,103.947,22.608,108.172
13225,CTA,LGW,37.467,15.066,51.148,-0.19
6157,MVD,MIA,-34.838,-56.03,25.793,-80.291
8640,FOR,SLZ,-3.776,-38.532,-2.589,-44.236
1269,CGN,ALG,50.866,7.143,36.691,3.215
12081,BRU,TNG,50.902,4.499,35.727,-5.917
8144,YOW,YUL,45.323,-75.669,45.468,-73.741
15967,POS,FLL,10.595,-61.337,26.072,-80.153
3545,URC,SHA,43.907,87.474,31.198,121.336
6338,ORD,TPA,41.979,-87.904,27.975,-82.533
6661,RIC,DFW,37.505,-77.319,32.896,-97.037
14139,LIR,JFK,10.593,-85.544,40.64,-73.779
6807,SJO,JFK,9.994,-84.209,40.64,-73.779
3684,STX,STT,17.702,-64.798,18.337,-64.973
8597,CNF,FOR,-19.634,-43.969,-3.776,-38.532
16228,CTU,TAO,30.578,103.947,36.263,120.375
12579,LOS,ACC,6.577,3.321,5.603,-0.168
10113,AZR,OGX,27.837,-0.186,31.917,5.413
2270,IXA,CCU,23.889,91.241,22.655,88.447
10709,JHB,PEN,1.641,103.669,5.297,100.277
6691,SAL,DFW,13.441,-89.056,32.896,-97.037
6400,PHL,AMS,39.872,-75.241,52.309,4.764
10144,CZL,CDG,36.277,6.624,49.013,2.55
1106,HUX,MEX,15.775,-96.261,19.436,-99.072
11391,AEP,PSS,-34.559,-58.416,-27.386,-55.971
14943,PTP,SJU,16.265,-61.532,18.439,-66.002
7732,VCE,STR,45.505,12.352,48.69,9.222
3492,SHA,CKG,31.198,121.336,29.719,106.641
6656,RDU,PHL,35.877,-78.787,39.872,-75.241
12251,RAK,MRS,31.607,-8.036,43.436,5.214
9637,LCY,NTE,51.505,0.054,47.153,-1.611
4950,CLT,JFK,35.214,-80.943,40.64,-73.779
2415,SNW,AKY,18.461,94.299,20.133,92.872
8482,YYZ,YOW,43.677,-79.631,45.323,-75.669
2169,BOM,NAG,19.089,72.868,21.092,79.047
10081,ALG,LIL,36.691,3.215,50.562,3.089
1535,OLB,STR,40.899,9.518,48.69,9.222
8608,CNF,SDU,-19.634,-43.969,-22.91,-43.163
47,IKT,HTA,52.267,104.395,52.026,113.305
14909,TFS,LGW,28.044,-16.572,51.148,-0.19
6871,SXM,JFK,18.041,-63.109,40.64,-73.779
14333,TPE,SZX,25.08,121.232,22.639,113.812
1050,KUL,DAC,2.746,101.71,23.843,90.398
9169,ATL,TYS,33.64,-84.427,35.812,-83.993
13023,ATL,PBI,33.64,-84.427,26.683,-80.096
14866,OSL,AAL,60.194,11.1,57.093,9.849
15883,CYO,MXP,21.616,-81.546,45.631,8.728
9802,NCE,ORY,43.661,7.218,48.725,2.359
4234,SKG,JKH,40.52,22.971,38.343,26.141
354,YUL,YGL,45.468,-73.741,53.625,-77.704
5300,DFW,RNO,32.896,-97.037,39.498,-119.768
5294,DFW,PTY,32.896,-97.037,9.071,-79.383
5571,IND,MIA,39.717,-86.294,25.793,-80.291
2121,AMD,JAI,23.075,72.632,26.824,75.81
5603,JFK,CLT,40.64,-73.779,35.214,-80.943
11665,IAH,LAX,29.98,-95.34,33.942,-118.408
11570,ATL,PNS,33.64,-84.427,30.473,-87.187
6820,SJU,PTP,18.439,-66.002,16.265,-61.532
8330,YYC,CUN,51.114,-114.02,21.036,-86.877
7926,IAD,MSY,38.944,-77.456,29.993,-90.258
6054,MIA,KIN,25.793,-80.291,17.936,-76.787
11468,IGR,AEP,-25.738,-54.473,-34.559,-58.416
953,XIY,FOC,34.446,108.752,25.933,119.662
12573,YYZ,MEX,43.677,-79.631,19.436,-99.072
12188,LFW,ACC,6.166,1.254,5.603,-0.168
12847,ORD,MAN,41.979,-87.904,53.354,-2.275
1321,CGN,STN,50.866,7.143,51.885,0.235
16906,SIN,CTU,1.356,103.987,30.578,103.947
10157,DXB,ALG,25.255,55.364,36.691,3.215
2142,BLR,HYD,12.95,77.668,17.452,78.461
12933,AMS,CPH,52.309,4.764,55.618,12.656
7301,HAM,LHR,53.63,9.988,51.477,-0.461
113,UIO,GYE,-0.141,-78.488,-2.158,-79.884
14986,HND,FUK,35.552,139.779,33.586,130.45
12046,YYJ,SEA,48.647,-123.426,47.449,-122.309
7767,VIE,RHO,48.11,16.57,36.405,28.086
13920,BOS,DCA,42.364,-71.005,38.852,-77.037
9885,PMI,ORY,39.55,2.733,48.725,2.359
11372,AEP,CTC,-34.559,-58.416,-28.596,-65.752
3897,LED,KIV,59.8,30.265,46.928,28.931
1789,KIS,EDL,-0.086,34.729,0.404,35.238
15539,SGN,DAD,10.82,106.662,16.044,108.199
15497,TSN,CTU,39.124,117.346,30.578,103.947
6163,MYR,PHL,33.68,-78.928,39.872,-75.241
4763,BLQ,LHR,44.534,11.29,51.477,-0.461
4546,LYS,BLQ,45.726,5.091,44.534,11.29
7268,FUE,ZRH,28.453,-13.864,47.465,8.549
5145,DCA,TYS,38.852,-77.037,35.812,-83.993
14166,MCO,SYR,28.429,-81.316,43.111,-76.106
13179,CDG,PMO,49.013,2.55,38.111,13.313
11174,PAZ,MEX,20.603,-97.461,19.436,-99.072
12561,TGU,SAL,14.061,-87.217,13.441,-89.056
4150,IXR,CCU,23.315,85.321,22.655,88.447
11359,VCE,SUF,45.505,12.352,38.906,16.242
12193,LIS,CMN,38.781,-9.136,33.368,-7.588
15348,YPR,YVR,54.286,-130.445,49.195,-123.182
10705,JHB,KBR,1.641,103.669,6.166,102.294
11192,PVR,LAX,20.68,-105.254,33.942,-118.408
7899,FIH,DLA,-4.386,15.444,4.006,9.719
15685,TPE,HKD,25.08,121.232,41.77,140.822
12329,BOG,GYE,4.701,-74.147,-2.158,-79.884
2032,POA,MVD,-29.994,-51.171,-34.789,-56.264
13243,DCA,ATL,38.852,-77.037,33.64,-84.427
8062,VLC,FRA,39.489,-0.481,50.026,8.543
13964,BUF,MCO,42.94,-78.732,28.429,-81.316
4835,BWI,LHR,39.175,-76.668,51.477,-0.461
1525,NCE,HAM,43.661,7.218,53.63,9.988
8524,ATM,BEL,-3.254,-52.254,-1.379,-48.476
14818,MIA,CDG,25.793,-80.291,49.013,2.55
6221,OMA,PHX,41.302,-95.894,33.434,-112.008
14478,CTU,LHR,30.578,103.947,51.477,-0.461
1576,SKG,STR,40.52,22.971,48.69,9.222
6358,ORY,JFK,48.725,2.359,40.64,-73.779
10732,KUL,BDO,2.746,101.71,-6.901,107.576
7540,PMI,CPH,39.55,2.733,55.618,12.656
13827,MSQ,EVN,53.882,28.031,40.148,44.397
804,KMG,XMN,24.992,102.743,24.544,118.127
